"","paddy_raster_df","Freq"
"1","101",29471.67
"2","102",342.18
"3","103",313.67
"4","104",63.35
"5","105",267.58
"6","107",7901.15
"7","201",30.02
"8","202",247.32
"9","203",338.82
"10","204",96.11
"11","205",1.02
"12","207",109.84
"13","301",109.96
"14","302",94.13
"15","303",753.24
"16","304",816.08
"17","305",78.21
"18","307",98.73
"19","401",50.87
"20","402",0.31
"21","403",9.09
"22","404",1441.03
"23","405",437.99
"24","407",405.36
"25","501",672.87
"26","502",5.38
"27","503",23.42
"28","504",78.95
"29","505",197.76
"30","507",193.14
"31","701",7295.07
"32","702",212.99
"33","703",356
"34","704",59.32
"35","705",47.93
"36","707",13072.47
