"","sensor","model","period","period_first","period_prev","region","prov","time_lag","area_ha_101","area_ha_102","area_ha_103","area_ha_104","area_ha_105","area_ha_106","area_ha_107","area_ha_201","area_ha_202","area_ha_203","area_ha_204","area_ha_205","area_ha_206","area_ha_207","area_ha_301","area_ha_302","area_ha_303","area_ha_304","area_ha_305","area_ha_306","area_ha_307","area_ha_401","area_ha_402","area_ha_403","area_ha_404","area_ha_405","area_ha_406","area_ha_407","area_ha_501","area_ha_502","area_ha_503","area_ha_504","area_ha_505","area_ha_506","area_ha_507","area_ha_601","area_ha_602","area_ha_603","area_ha_604","area_ha_605","area_ha_606","area_ha_607","area_ha_701","area_ha_702","area_ha_703","area_ha_704","area_ha_705","area_ha_706","area_ha_707","area_ha_total_nochange","area_ha_total_correct","area_ha_total_true","area_ha_total_incorrect","area_ha_total_all","area_RS","area_BPS","compare_total_RS","compare_total_BPS","pct_101","pct_102","pct_103","pct_104","pct_105","pct_106","pct_107","pct_201","pct_202","pct_203","pct_204","pct_205","pct_206","pct_207","pct_301","pct_302","pct_303","pct_304","pct_305","pct_306","pct_307","pct_401","pct_402","pct_403","pct_404","pct_405","pct_406","pct_407","pct_501","pct_502","pct_503","pct_504","pct_505","pct_506","pct_507","pct_601","pct_602","pct_603","pct_604","pct_605","pct_606","pct_607","pct_701","pct_702","pct_703","pct_704","pct_705","pct_706","pct_707","pct_total_nochange","pct_total_correct","pct_total_true","pct_total_incorrect"
"1","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180610_20180626","2018-06-10","2018-06-26","3212","32","16","5452.69","805.59","3915.18","355.84","584.83","16.83","1484.3","139.29","591.5","2982.62","895.93","73.51","21.47","23.6","3704.09","6386.21","29065.55","15226.4","2343.55","460.28","773.07","612.53","91.51","621.02","6730.52","4877.38","55.71","174.89","7087.45","113.04","1223.42","541.63","5273.22","11.49","990.15","0.18","0","0.22","0","0.09","0","0.03","1353.2","121.37","119.97","43.52","118.91","0.36","8318.97","55432.45","35747.09","91179.54","22603.57","113783.11","116946.847819239","115555","97.2947215951225","98.4666262818571","4.79217873373298","0.708004905121683","3.44091491259116","0.312735343584826","0.513986654082491","0.0147912989898061","1.30449941120435","0.12241711445574","0.519848684044583","2.6213205105749","0.78740157480315","0.0646053706916607","0.0188692328764788","0.0207412154580763","3.25539528669941","5.61261684620855","25.5446963965038","13.3819509767311","2.05966421554131","0.404524010637431","0.679424213312503","0.538331216293877","0.0804249418037528","0.545792780668414","5.91521887563102","4.28655887503866","0.0489615725919251","0.153704710655211","6.22891218213318","0.0993469065839385","1.07522109388643","0.47601968341347","4.6344488210948","0.0100981595598855","0.870208240924334","0.000158195711120921","0","0.000193350313592237","0","7.90978555604606e-05","0","2.63659518534869e-05","1.18928020160461","0.10666785254859","0.105437441462094","0.0382482074887916","0.104505844496604","0.000316391422241842","7.31125208302005","48.7176435940273","31.4168684614087","80.134512055436","19.865487944564"
"2","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180626_20180712","2018-06-26","2018-07-12","3212","32","16","13234.35","312.74","2852.88","594.86","1071.92","0","283.37","361.4","1489.2","5641.96","325.24","114.29","0","178.45","3023.47","1557.07","18223.87","12251.17","2229.82","0.02","641.38","782.69","5.8","695.41","13606.25","8094.93","0","604.28","8581.02","8.71","477.43","1203.61","2551.09","0","449.75","18.82","33.78","251.91","108.09","143.45","0","3.54","6508.94","48.45","415.62","42.91","92.44","0","4656","53760.76","43102.05","96862.81","16909.57","113772.38","116946.847819239","115555","97.2855464867719","98.4573406602916","11.6323047825843","0.27488218142224","2.50753302339285","0.522850976660592","0.942161884984739","0","0.249067480174011","0.317651788597549","1.30892928494596","4.95898916766969","0.285869030778824","0.100454961037116","0","0.156848261414589","2.65747275393202","1.36858348221247","16.0178331507172","10.7681407385518","1.9598957145838","1.7578958970534e-05","0.563739635226054","0.687943769832362","0.00509789810145485","0.611229192884951","11.9591855246414","7.11502211696723","0","0.531130666335713","7.54226992526657","0.00765563663166755","0.419636119065102","1.05791054032622","2.24227532200698","0","0.395306839849883","0.0165418003912725","0.0296908617012319","0.221415777713361","0.0950054837562509","0.126085083216155","0","0.00311147573778451","5.72101946008337","0.0425850281061186","0.365308346366667","0.0377156564712806","0.081249948361808","0","4.09238164834031","47.2529097132362","37.8844584247952","85.1373681380314","14.8626318619686"
"3","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180712_20180728","2018-07-12","2018-07-28","3212","32","16","30727.99","51.57","1158.32","31.56","138.23","0.01","399.25","53.58","306.32","2132.58","945.33","5","0","16.9","1424.99","328.34","15160.3","10104.86","956.06","0.06","592.33","113.99","1.03","234.87","11581.05","15881.56","0","318.6","6624.67","5.86","898.09","378.66","5943.53","0","439.81","0","0","0.02","0","0","0","0","1987.78","4.76","306.91","18.64","116.82","0","4380.58","68099.77","37686.37","105786.14","7984.67","113770.81","116946.847819239","115555","97.2842039965473","98.4559819999135","27.0086764786152","0.0453279712080805","1.01811703722598","0.02773998005288","0.121498651543397","8.78960077721166e-06","0.350924811030176","0.0470946809643001","0.269243051007548","1.8744526825466","0.83090733027215","0.00439480038860583","0","0.0148544253134877","1.25250932115188","0.288597751918968","13.3252984662762","8.8817685309615","0.840338571906098","5.273760466327e-05","0.520634422836578","0.100192659259436","0.000905328880052801","0.20644135345437","10.1792806080927","13.9592572119334","0","0.280036680761963","5.82282045807708","0.00515070605544603","0.789385256200602","0.332827023029897","5.22412559073808","0","0.386575431782546","0","0","1.75792015544233e-05","0","0","0","0","1.74717926329258","0.00418384996995275","0.269761637453403","0.0163838158487225","0.102680116279387","0","3.85035493726379","59.8569791319935","33.1248147042286","92.9817938362221","7.01820616377786"
"4","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180728_20180813","2018-07-28","2018-08-13","3212","32","16","38770.87","112.95","1022.18","8.07","275.88","6.01","734.51","12.27","325.41","322.37","32.82","2.37","0","2.41","1390.51","1229.14","12044.8","3154.77","1407.61","13.82","653.48","39.06","0.1","272.36","8292.69","14379.59","0.1","77.2","10324.75","12.61","1756.08","115.24","10590.05","1.98","251.54","0.01","0","0.04","0","0","0.02","0","1655.16","35.01","518.5","8.97","129.62","0","3802.94","73826.78","31017.49","104844.27","8941.6","113785.87","116946.847819239","115555","97.2970816416321","98.4690147548786","34.0735365472004","0.0992654008797402","0.898336498196129","0.00709226901371849","0.242455412082361","0.00528185090117077","0.645519518372536","0.0107834127383303","0.285984542720463","0.283312857738839","0.0288436516766098","0.00208285967317383","0","0.00211801342293204","1.22204101440715","1.0802219994451","10.5854971271916","2.77254987811755","1.23706924242878","0.0121456205414609","0.574306809799846","0.0343276366388902","8.78843743955203e-05","0.239361882103639","7.28797872705987","12.6374127121408","8.78843743955203e-05","0.0678467370333417","9.07384194540148","0.0110822196112751","1.54331992188485","0.101277953053398","9.30699919067279","0.0017401106130313","0.221064355354492","8.78843743955203e-06","0","3.51537497582081e-05","0","0","1.75768748791041e-05","0","1.45462701124489","0.0307683194758716","0.455680481240773","0.00788322838327817","0.113915726091473","0","3.342190027637","64.8822037393571","27.2595270396931","92.1417307790502","7.85826922094984"
"5","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180813_20180829","2018-08-13","2018-08-29","3212","32","16","50393.57","93.16","1016.06","12.89","123.55","0","560.86","47.51","382.93","1100.11","161.26","11.45","0","12.02","2244.07","208.14","8348.74","3791.59","1255.84","0.04","87.42","31.89","3.18","133.34","3916.54","7518.57","0","9.01","15831.92","30.95","1999.89","307.84","8554.99","0","52.28","20.77","0.03","1.45","0","0.6","0","0.01","1888.7","21.2","554.44","7","32.98","0","3017.32","74614.09","30959.75","105573.84","8212.27","113786.11","116946.847819239","115555","97.2972868630677","98.4692224481849","44.2879803167539","0.0818729104984782","0.892956091037825","0.0113282719657083","0.108580915544085","0","0.492907262582401","0.0417537782071994","0.336534925044893","0.966822751915853","0.141722043226541","0.0100627396437052","0","0.0105636795211648","1.97218272072048","0.182922151042865","7.33722244305566","3.33220812276648","1.10368479948915","3.51536756111972e-05","0.0768283580482714","0.028026267881027","0.00279471721109018","0.117184777649926","3.44201941695695","6.60763427100197","0","0.00791836543142217","13.9137544995606","0.0272001565041638","1.75758710795193","0.270542687503773","7.51848358292589","0","0.0459458540238347","0.0182535460611141","2.63652567083979e-05","0.0012743207409059","0","0.000527305134167958","0","8.7884189027993e-06","1.6598686781717","0.0186314480739345","0.487265097646804","0.00615189323195951","0.0289842055414321","0","2.65174721237944","65.5739878971168","27.208725212594","92.7827131097108","7.21728689028916"
"6","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180829_20180914","2018-08-29","2018-09-14","3212","32","16","55767.63","287.92","1381.33","24.33","159.29","60.71","12785.79","167.88","10.58","267.62","257.79","25.29","2.59","8.16","4686.37","132.26","2731.93","4144.35","1354.74","46.59","60.32","1006.51","2.16","233","1918.45","5015.87","12.71","8.42","14410.38","279.96","614.03","396.01","1714.44","47.68","36.64","0","0","0","0","0","0.04","0","286.91","20.34","311.73","42.52","12.69","0.22","3064.94","65208.01","37873.94","103081.95","10717.17","113799.12","116946.847819239","115555","97.3084115750566","98.4804811561594","49.0053262274787","0.253007228878396","1.21383188200401","0.0213797786837016","0.139974720366906","0.0533483914462607","11.2354032263167","0.147523109141793","0.00929708419537866","0.235168778106544","0.226530749974165","0.0222233704443409","0.00227594027089137","0.00717052996543383","4.11810741594487","0.116222339856407","2.40066004025339","3.64181199292227","1.19046614771714","0.0409405626335248","0.053005682293501","0.884462023959412","0.00189808146143837","0.20474675023849","1.68582147208168","4.40765271295595","0.0111688034142971","0.0073990027339403","12.662997745501","0.246012447196428","0.539573592484722","0.347990388677874","1.50654943553166","0.0418983907784173","0.0321970855310656","0","0","0","0","0","3.51496566933031e-05","0","0.25211970004689","0.0178736004285446","0.273930062025084","0.0373640850649812","0.0111512285859504","0.000193323111813167","2.69328971963931","57.3009791288369","33.281399715569","90.5823788444058","9.41762115559417"
"7","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180914_20180930","2018-09-14","2018-09-30","3212","32","16","66358.65","96.25","4177.48","48.73","673.74","233.47","4693.19","443.33","8.67","255.32","1.71","4.38","11.95","2.67","1875.19","28.5","1502.14","927.26","1152.22","27.3","24.47","27.42","0.01","131.48","3665.78","2952.63","0","6.11","3250.42","3.63","766.81","358.29","3881.76","6.17","15.23","70.68","5.3","52.09","15.6","14.35","11.35","1.2","10007.18","2.01","767.2","2.47","22.36","4.5","5086.52","80514.87","23084.56","103599.43","10075.74","113675.17","116946.847819239","115555","97.2024232544551","98.3732162173857","58.3756769398277","0.0846710851631012","3.67492742698339","0.0428677608311472","0.592688799145847","0.205383462369135","4.12859730053626","0.389997217510209","0.00762699541157493","0.224604898325641","0.00150428629224834","0.00385308418716242","0.0105124100540162","0.00234879789491408","1.64960386687788","0.025071438204139","1.32143193627949","0.81571023821649","1.01360745710783","0.0240157987008069","0.0215262488721152","0.0241213626511401","8.79699586110142e-06","0.115662901581761","3.22478514877084","2.59742738893639","0","0.00537496447113297","2.85939312868413","0.00319330949757981","0.674562439625118","0.315187564707403","3.4147826653789","0.00542774644629957","0.0133978246964575","0.0621771667462648","0.00466240780638375","0.0458235514404773","0.0137233135433182","0.0126236890606805","0.00998459030235011","0.00105563950333217","8.80331210412969","0.00176819616808138","0.674905522463701","0.00217285797769205","0.0196700827454228","0.00395864813749564","4.47460953874096","70.8288978147119","20.3074778775347","91.1363756922466","8.8636243077534"
"8","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180610_20180626","2018-06-10","2018-06-26","3213","32","16","1990.85","1100.73","7903.09","18.85","753.91","0.06","1400.65","27.87","907.35","2936.09","172.9","10.23","0","196.87","220.59","2326.61","29532.63","5164.09","828.12","0","2093.65","25.54","12.7","472.53","5434.91","4986.94","0","255.97","1187.78","600.82","2438.25","57.67","1569.54","0","322.23","0.03","0","0.51","0","0","0","0.02","482.73","46.52","487.79","20.79","64.35","0","11947.38","51382.66","18257.07","69639.73","18360.41","88000.14","90567.1038393692","84228","97.1656774584269","104.478486963955","2.26232594629963","1.25082755550162","8.98076980332077","0.0214204204675129","0.856714546135949","6.81817097109164e-05","1.59164519510992","0.0316704041607207","1.03107790510333","3.33646060108541","0.196476960150291","0.0116249815057112","0","0.223715553179802","0.250670055752184","2.64387079384192","33.559753427665","5.86827475501743","0.941043957430068","0","2.379143942271","0.0290226811002801","0.014431795222144","0.536965054828322","6.17602426541594","5.66696825709595","0","0.290874537245054","1.34974785267387","0.682748913808546","2.77073422837736","0.0655339866504758","1.78356534432786","0","0.366169872002476","3.40908548554582e-05","0","0.000579544532542789","0","0","0","2.27272365703055e-05","0.548555945479178","0.0528635522625305","0.554305936331465","0.0236249624148325","0.0731248836649578","0","13.5765465827668","58.3892934715786","20.7466374485313","79.1359309201099","20.8640690798901"
"9","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180626_20180712","2018-06-26","2018-07-12","3213","32","16","3177.56","67.01","495.24","2.39","32.37","0","160.68","281.54","1119.4","3454.58","46.48","12.69","0","70.94","4487.22","851.15","30971.91","5570.96","1046.68","0","836.16","26.78","0.7","250.43","6511.95","4035.26","0","44.09","3887.84","25.55","1326.2","321.77","2551.45","0","100.06","0.06","0","0","0","0","0","0","1911.03","145.31","2414.36","52.9","54.43","0","11638.71","55970.98","19639.88","75610.86","12372.98","87983.84","90567.1038393692","84228","97.1476797536212","104.459134729544","3.61152684402045","0.076161713332812","0.562876091791402","0.00271640792218207","0.0367908470464576","0","0.182624445580007","0.319990580088344","1.2722790912513","3.92638011707604","0.0528278829385033","0.0144231031516697","0","0.0806284426776554","5.10005019103508","0.967393557726055","35.2018166063223","6.3317991122006","1.18962754978642","0","0.950356338163917","0.0304374075966678","0.000795600646664206","0.284631814205881","7.40130233006425","4.58636495065458","0","0.0501114750163212","4.41881145446709","0.0290394236032435","1.50732225372296","0.365714885824488","2.89990752847341","0","0.113725429578886","6.81943411426462e-05","0","0","0","0","0","0","2.17202386256385","0.165155328523965","2.74409482468599","0.0601246774407664","0.0618636331399039","0","13.2282360033388","63.6150684034705","22.3221446120106","85.937213015481","14.062786984519"
"10","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180712_20180728","2018-07-12","2018-07-28","3213","32","16","10682.78","57.17","1834.27","14.77","161.1","0","1020.61","67.41","238.98","1751.68","51.03","7.91","0","98.15","2259.54","667.79","29459.38","4912.29","1052.47","0","548.2","55.2","0.99","274.6","5365.59","6778.71","0","31.36","3905.09","29.5","1883.28","196.73","1633.35","0","84.77","0","0","0","0","0","0","0","1497.53","126.01","732.79","19.94","19.3","0","10454.85","57834.93","20230.77","78065.7","9909.42","87975.12","90567.1038393692","84228","97.1380515336271","104.44878187776","12.1429558720693","0.0649842819197064","2.08498721002029","0.0167888375713497","0.183119954823591","0","1.16011208623529","0.0766239364038378","0.27164498326345","1.99110839519173","0.0580050359692604","0.00899117841498824","0","0.111565633556396","2.56838524346429","0.759066881636536","33.4860355973371","5.58372639900918","1.19632687059705","0","0.623130721503989","0.062745012453521","0.0011253181581338","0.312133703256103","6.09898571323347","7.70525803204361","0","0.0356464418576525","4.43885725873406","0.0335322077423708","2.14069614227295","0.223620041666326","1.85660445816954","0","0.0963567881464669","0","0","0","0","0","0","0","1.70221990035365","0.143233677885293","0.832951407170573","0.0226654990638262","0.021938020658568","0","11.8838712581466","65.7400978822194","22.9960129636652","88.7361108458846","11.2638891541154"
