"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"1","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,1,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"2","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,2,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"3","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,4,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"4","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,8,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"5","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,16,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"6","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,32,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"7","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,64,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"8","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,128,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"9","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,256,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
"10","Phase ~ TIME0 + EVI","svmRadial",423,45,2,"noProc",2.98023223876953e-08,512,0.264775413711584,0,0.644444444444444,0.541984732824427,0.487801005148146,0.781315989264414,0.266666666666667,1.25898138659622e-07,NA,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.818181818181818,0.921052631578947,0.944444444444444,0.882352941176471,0.974358974358974,0.6,0.625,0.6,0.714285714285714,0.666666666666666,0.9,0.945945945945946,0.85,0.967741935483871,0.904761904761905,0.6,0.625,0.6,0.714285714285714,0.666666666666667,0.75,0.714285714285714,0.333333333333333,0.909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.428571428571429,0.8,0.444444444444444,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.2,0.111111111111111,0.0666666666666667,0.222222222222222,0.0444444444444444,0.333333333333333,0.177777777777778,0.111111111111111,0.311111111111111,0.0666666666666667,0.784090909090909,0.817669172932331,0.638888888888889,0.89572192513369,0.653846153846154
