,sensor,model,period_start,start_first,start_last,period_end,end_first,end_last,rows,regions,prov,time_lag,area_ha_101,area_ha_102,area_ha_103,area_ha_104,area_ha_105,area_ha_106,area_ha_107,area_ha_201,area_ha_202,area_ha_203,area_ha_204,area_ha_205,area_ha_206,area_ha_207,area_ha_301,area_ha_302,area_ha_303,area_ha_304,area_ha_305,area_ha_306,area_ha_307,area_ha_401,area_ha_402,area_ha_403,area_ha_404,area_ha_405,area_ha_406,area_ha_407,area_ha_501,area_ha_502,area_ha_503,area_ha_504,area_ha_505,area_ha_506,area_ha_507,area_ha_601,area_ha_602,area_ha_603,area_ha_604,area_ha_605,area_ha_606,area_ha_607,area_ha_701,area_ha_702,area_ha_703,area_ha_704,area_ha_705,area_ha_706,area_ha_707,area_ha_total_nochange,area_ha_total_correct,area_ha_total_true,area_ha_total_incorrect,area_ha_total_all,area_RS,area_BPS,compare_total_RS,compare_total_BPS,pct_101,pct_102,pct_103,pct_104,pct_105,pct_106,pct_107,pct_201,pct_202,pct_203,pct_204,pct_205,pct_206,pct_207,pct_301,pct_302,pct_303,pct_304,pct_305,pct_306,pct_307,pct_401,pct_402,pct_403,pct_404,pct_405,pct_406,pct_407,pct_501,pct_502,pct_503,pct_504,pct_505,pct_506,pct_507,pct_601,pct_602,pct_603,pct_604,pct_605,pct_606,pct_607,pct_701,pct_702,pct_703,pct_704,pct_705,pct_706,pct_707,pct_total_nochange,pct_total_correct,pct_total_true,pct_total_incorrect
1,S2,svmRadialS2,20180603_20180603,06/03/2018,06/03/2018,20180608_20180608,06/08/2018,06/08/2018,4,3517|3518|3522|3524,35,5,6800.72,86.52,35.53,5.28,17.52,92.87,3019.33,142.84,4.87,5.9,4.96,2.69,3,128.06,193.95,62.46,782.39,537.26,315.09,686.95,0,27.45,81.13,203.01,1922.94,193.54,195.48,3019.33,68.89,39.08,221.99,310.29,910.19,204.85,0,2277.65,864.34,17704.61,7916.49,5076.8,11138.5,0,24766.55,1248.53,0,0,0,0,130229.4,151789.01,65131.48,216920.49,4628.74,221549.23,84154.41582,87336,263.2651274,253.6745786,3.069620237,0.039052268,0.016037068,0.002383217,0.007907949,0.041918449,1.36282577,0.064473255,0.002198157,0.002663065,0.00223878,0.001214177,0.001354101,0.057802051,0.08754262,0.02819238,0.353144987,0.242501407,0.142221212,0.310066526,0,0.012390023,0.036619401,0.091632004,0.867951561,0.087357559,0.088233211,1.36282577,0.031094669,0.01763942,0.100198949,0.140054651,0.410829683,0.09246252,0,1.028055931,0.390134509,7.991275799,3.573241938,2.291499727,5.027550762,0,11.17880211,0.563545177,0,0,0,0,58.78124695,68.51254234,29.39819741,97.91073975,2.089260252
2,S2,svmRadialS2,20180608_20180608,06/08/2018,06/08/2018,20180613_20180613,06/13/2018,06/13/2018,4,3517|3518|3522|3524,35,5,16048.71,511.31,165.97,56.59,55.6,1082.12,29759.19,302.91,389.62,124.59,43.48,68.66,409.97,1047.7,401.06,1794.82,8035.75,1719.36,709.61,4316.56,1976.27,0.82,26.7,171.81,3478.95,575.74,3834.44,29759.19,100.96,184.96,329.02,671.01,913.65,1320.85,2995.38,538.64,1039.36,3195.24,1368.18,765.48,3749.12,1665.63,24766.55,2926.07,699.65,233.19,148.99,4893.47,113563.07,146178.87,83503.49,229682.36,43253.61,272935.97,84154.41582,87336,324.3275678,312.5125607,5.880027466,0.187336979,0.060809134,0.020733801,0.020371078,0.396473942,10.90335949,0.110982074,0.14275143,0.045648069,0.015930476,0.025156083,0.150207391,0.383862926,0.146942889,0.657597458,2.944188705,0.629949948,0.259991382,1.581528444,0.724078252,0.000300437,0.009782514,0.06294883,1.274639616,0.210943248,1.404886282,10.90335949,0.036990361,0.06776681,0.12054842,0.245848871,0.334748842,0.483941343,1.097466193,0.197350316,0.380807264,1.170692159,0.501282407,0.280461384,1.373626203,0.610264012,9.074124601,1.072071959,0.256342174,0.085437621,0.054587895,1.792900364,41.60795296,53.55793522,30.59453468,84.1524699,15.8475301
3,S2,svmRadialS2,20180613_20180613,06/13/2018,06/13/2018,20180618_20180618,06/18/2018,06/18/2018,4,3517|3518|3522|3524,35,5,18700.18,494.12,164.97,3.59,23.97,501.76,8861.53,952.2,1283.85,893.1,37.07,64.39,1244.95,2408.23,591.63,344.33,6859.3,1833.18,705.26,2392.56,0,91.9,257.06,271.73,5662.44,610.95,677.01,8861.53,191.44,68.48,279.67,451.65,1639.25,608.89,0,4546.02,730.41,2799.18,4114.48,2799.11,4718.54,0,24766.55,2669.26,0,0,0,0,108239.96,147103.52,61755.18,208858.7,14556.98,223415.68,84154.41582,87336,265.4830146,255.8116699,8.370128721,0.221166214,0.073839938,0.00160687,0.01072888,0.224585848,3.966386782,0.426201062,0.574646327,0.399748129,0.01659239,0.028820717,0.557234837,1.077914496,0.264811315,0.154120785,3.070196326,0.820524325,0.315671666,1.070900664,0,0.041134087,0.115059068,0.121625304,2.534486389,0.273458873,0.303027075,3.966386782,0.085687808,0.030651385,0.125179218,0.202156805,0.733722002,0.272536825,0,2.034781086,0.32692871,1.252902213,1.84162544,1.252870882,2.112000375,0,11.08541263,1.194750521,0,0,0,0,48.44779024,65.84297038,27.6413813,93.48435168,6.51564832
4,S2,svmRadialS2,20180618_20180618,06/18/2018,06/18/2018,20180623_20180623,06/23/2018,06/23/2018,4,3517|3518|3522|3524,35,5,28572.11,1303.15,336.78,88.46,90.11,3020.49,30132.46,796.33,400.14,177.6,123.84,36.36,1638.39,2674.84,215.32,227.87,2736.69,636.33,219.95,6125.76,1106.03,27.47,120.73,367.35,2621.92,342.25,5644.11,30132.46,222.51,85.95,255.19,158.08,610.57,917.79,3592.84,1058.22,381.78,1526.1,671.93,209.3,4620.45,1675.93,24766.55,1783.22,442.1,540.29,500.38,2151.8,98154.73,137716.61,86708.99,224425.6,39815.41,264241.01,84154.41582,87336,313.9954183,302.5568036,10.81289766,0.493167204,0.127451829,0.033477014,0.034101444,1.143081462,11.40340025,0.30136503,0.151429939,0.067211369,0.046866306,0.013760165,0.620036231,1.012272849,0.081486216,0.086235668,1.035679511,0.240814248,0.083238404,2.31824727,0.418568639,0.010395813,0.04568935,0.139020813,0.992245678,0.129521909,2.135970491,11.40340025,0.084207217,0.032527124,0.096574714,0.059824173,0.231065572,0.347330643,1.359682965,0.400475309,0.144481737,0.577540935,0.254286797,0.079207993,1.748574152,0.634242959,9.372712434,0.674846043,0.167309382,0.20446864,0.189365004,0.81433234,37.14591085,52.11780336,32.81435762,84.93216098,15.06783902
5,S2,svmRadialS2,20180623_20180623,06/23/2018,06/23/2018,20180628_20180628,06/28/2018,06/28/2018,4,3517|3518|3522|3524,35,5,31182.84,101.81,176.43,17.33,46.83,755.39,15100.82,1242.54,372.68,225.75,109.75,33.88,192.28,2173.92,388.98,370.77,2634.62,1237,496.1,716.88,0,157.19,0.6,105.12,3074.07,481.92,1022.39,15100.82,311.13,1.59,282.59,276.99,540.74,597.19,0,4511.07,3085.84,6395.76,6494.42,1159.13,2498.04,0,24766.55,807.91,0,0,0,0,90642.79,130945.78,69207.37,200153.15,19737.3,219890.45,84154.41582,87336,261.2940128,251.7752702,14.18107971,0.046300328,0.080235408,0.007881197,0.021296969,0.343530153,6.867428758,0.565072289,0.169484396,0.102664759,0.049911217,0.015407672,0.087443543,0.988637751,0.176897178,0.168615781,1.19815117,0.562552853,0.225612345,0.326016887,0,0.071485597,0.000272863,0.047805623,1.398000686,0.219163679,0.464954253,6.867428758,0.141493184,0.000723087,0.128513994,0.125967271,0.245913363,0.271585237,0,2.051507921,1.403353352,2.908611993,2.95347979,0.527139764,1.136038423,0,11.26313125,0.367414774,0,0,0,0,41.22179476,59.55046251,31.47356786,91.02403038,8.975969625
6,S2,svmRadialS2,20180628_20180628,06/28/2018,06/28/2018,20180703_20180703,07/03/2018,07/03/2018,4,3517|3518|3522|3524,35,5,18909.14,2475.2,248.16,34.93,81.01,7242.02,58552.01,54.77,370.75,222.96,0.34,1.43,3255.52,835.43,268.37,1030.91,608.36,79.5,134.03,7699.1,0,15.55,107.75,97.07,373.3,143.06,10472.83,58552.01,69.02,51.37,106.39,58.75,272.25,2200.82,0,338.49,681.04,508.49,265.88,237.22,3751.05,0,24766.55,6564.69,0,0,0,0,92176.98,116461.83,125880.54,242342.37,61572.13,303914.5,84154.41582,87336,361.1391001,347.9830769,6.221861741,0.814439587,0.081654544,0.011493364,0.026655523,2.382913616,19.26594815,0.018021516,0.121991547,0.073362739,0.000111874,0.000470527,1.071196011,0.274889813,0.088304441,0.339210535,0.20017472,0.026158673,0.044101219,2.533311178,0,0.005116571,0.03545405,0.031939904,0.122830599,0.04707245,3.44597905,19.26594815,0.022710335,0.01690278,0.035006556,0.019331095,0.089581116,0.724157617,0,0.111376719,0.224089341,0.167313504,0.087485132,0.078054848,1.234245158,0,8.149183405,2.160045013,0,0,0,0,30.32990529,38.32059017,41.41972167,79.74031183,20.25968817
7,S2,svmRadialS2,20180703_20180703,07/03/2018,07/03/2018,20180708_20180708,07/08/2018,07/08/2018,4,3517|3518|3522|3524,35,5,25843.26,217.77,94.39,25.51,35.89,19.08,2022.46,3639.54,417.77,1172.02,633.71,152.56,20.19,5172.55,334.61,175.54,693.03,220.57,86.22,24.48,255.5,0.78,0.33,29.2,539.32,80.15,0.45,2022.46,149.31,1.76,56.37,69.31,245.19,0.46,346.11,7581.74,2262.39,5242.2,12349.85,2263.05,448.21,4351.99,24766.55,1552.79,1234.17,436.96,346.48,63.74,69482.34,97669.12,68284.91,165954.03,11226.28,177180.31,84154.41582,87336,210.5419048,202.872023,14.58585325,0.122908691,0.053273414,0.014397762,0.020256201,0.010768691,1.141469952,2.05414473,0.235788051,0.661484338,0.357663896,0.086104376,0.011395171,2.919370668,0.188852813,0.099074214,0.391143914,0.124489002,0.048662292,0.013816434,0.144203382,0.00044023,0.000186251,0.016480387,0.304390482,0.045236404,0.000253979,1.141469952,0.084270086,0.000993338,0.031815048,0.039118342,0.138384451,0.000259623,0.195343376,4.279109795,1.276885677,2.958680905,6.970215821,1.277258178,0.25296829,2.45624923,13.97816157,0.876389707,0.696561599,0.246618826,0.195552203,0.035974652,39.21561036,55.12413879,38.5397847,93.66392349,6.336076509
8,S2,svmRadialS2,20180708_20180708,07/08/2018,07/08/2018,20180713_20180713,07/13/2018,07/13/2018,4,3517|3518|3522|3524,35,5,67923.86,66.31,604.97,13.81,257.71,3786.02,42930.26,266.17,1458.47,1248.67,37.6,11.16,284.94,1333.67,101.42,71.73,4874.33,1940.6,665.39,891.91,0,1,0.05,50.49,9455.93,2439.67,2331.39,42930.26,236.54,0.23,115.54,60.41,2000.6,805.23,0,83.16,71.66,149.72,45.62,41.07,189.74,0,24766.55,56.11,0,0,0,0,76994.72,162897.65,82441.83,245339.48,46255.21,291594.69,84154.41582,87336,346.4995712,333.8768549,23.29392898,0.022740469,0.207469484,0.004736026,0.088379524,1.298384412,14.72257948,0.091280812,0.500170288,0.428221104,0.012894611,0.00382723,0.097717829,0.457371154,0.034781155,0.024599213,1.671611373,0.665512805,0.228190026,0.305873197,0,0.000342942,1.71E-05,0.01731513,3.2428334,0.836664755,0.79953102,14.72257948,0.081119447,7.89E-05,0.039623492,0.020717113,0.686089311,0.276147004,0,0.028519038,0.024575207,0.051345242,0.015645004,0.014084619,0.065069772,0,8.493484569,0.019242463,0,0,0,0,26.40470579,55.86440892,28.27274735,84.13715627,15.86284373
9,S2,svmRadialS2,20180713_20180713,07/13/2018,07/13/2018,20180718_20180718,07/18/2018,07/18/2018,4,3517|3518|3522|3524,35,5,64682.83,362.14,178.79,3.15,122.26,112.36,5659.82,41.99,1297.54,264.12,0.15,0.04,28.42,92.18,361.84,440.88,4194.92,1143.35,160.06,136.98,603.66,6.85,20.83,109.34,8215.13,645.48,56.65,5659.82,368.6,22.27,199.05,264.28,1885.13,49.11,2627.04,3783.26,119.36,710.71,1395.36,777.95,92.51,1405.36,24766.55,539.92,1360.72,362.65,457.9,116.21,73332.6,153700.66,45016.8,198717.46,10520.66,209238.12,84154.41582,87336,248.6359366,239.5783182,30.9135018,0.173075537,0.085448101,0.001505462,0.058431035,0.053699584,2.704965998,0.020068045,0.620126008,0.126229389,7.17E-05,1.91E-05,0.013582611,0.04405507,0.17293216,0.210707303,2.004854565,0.546434847,0.076496577,0.065466082,0.288503835,0.003273782,0.009955165,0.052256252,3.92621096,0.308490633,0.027074416,2.704965998,0.176162929,0.010643376,0.095130849,0.126305857,0.900949598,0.023470867,1.255526479,1.808112212,0.057045055,0.33966564,0.666876571,0.371801276,0.044212785,0.671655815,11.8365382,0.258040934,0.65032127,0.173319279,0.218841576,0.055539593,35.04743782,73.45729354,21.51462649,94.97192003,5.028079969
10,S2,svmRadialS2,20180718_20180718,07/18/2018,07/18/2018,20180723_20180723,07/23/2018,07/23/2018,4,3517|3518|3522|3524,35,5,94268.12,916.59,567.31,14.52,231.9,1274.33,18586.61,373.96,1399.51,557.85,12.87,16.12,119.11,341.21,408.88,247.21,4768.38,992.64,376.98,251.67,0,15.34,29.09,216.99,9777.8,1254.64,91.96,18586.61,345.11,16.01,256.98,213.02,3080.66,146.99,0,143.35,33.26,158.32,52.13,58.21,160.33,0,24766.55,710.39,0,0,0,0,73218.15,186672.95,50849.68,237522.63,21535.03,259057.66,84154.41582,87336,307.8360862,296.6218512,36.38885644,0.353816984,0.218989857,0.00560493,0.089516751,0.491909793,7.174700026,0.144353964,0.540231082,0.215338161,0.004968006,0.006222553,0.045978181,0.13171199,0.157833588,0.095426632,1.84066358,0.383173383,0.145519727,0.097148256,0,0.005921462,0.01122916,0.083761275,3.774372084,0.484309169,0.035497889,7.174700026,0.133217447,0.006180091,0.099197993,0.082228798,1.189179274,0.056740264,0,0.055335171,0.012838841,0.061113808,0.020122933,0.022469901,0.061889697,0,9.560246163,0.274220805,0,0,0,0,28.26326386,72.05845602,19.62871123,91.68716725,8.312832749
